epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0455,1.84525,1.57818,1.71888,0.6749,0.47857,0.54049,0.23273,2.17893,1.85691,2.03414,0.000662768,0.000662768,0.000662768
2,106.035,1.7975,1.56793,1.68917,0.64755,0.50179,0.53136,0.21134,2.11668,2.20198,1.98388,0.00130311,0.00130311,0.00130311
3,153.253,1.8257,1.65368,1.70302,0.57456,0.42204,0.43593,0.15621,2.32754,2.41279,2.21442,0.00191706,0.00191706,0.00191706
4,200.096,1.80371,1.63798,1.69883,0.50241,0.41607,0.39434,0.15408,2.25523,2.37622,2.18433,0.0018812,0.0018812,0.0018812
5,247.243,1.78279,1.59252,1.68224,0.673,0.47143,0.53665,0.23819,2.08506,1.99136,1.96,0.0018416,0.0018416,0.0018416
6,294.369,1.76174,1.5415,1.66512,0.60146,0.44464,0.4742,0.20467,2.08362,2.16154,1.96277,0.001802,0.001802,0.001802
7,341.453,1.74693,1.50263,1.63989,0.65722,0.55124,0.59305,0.25727,2.03204,1.74659,1.95488,0.0017624,0.0017624,0.0017624
8,388.203,1.72919,1.47827,1.64344,0.67861,0.61071,0.64157,0.28936,1.92557,1.63156,1.85313,0.0017228,0.0017228,0.0017228
9,434.925,1.72071,1.47648,1.63445,0.66324,0.52857,0.60385,0.26369,1.98804,1.89005,1.88722,0.0016832,0.0016832,0.0016832
10,481.436,1.70665,1.43695,1.62917,0.66207,0.56429,0.60964,0.2674,1.94921,1.89768,1.88707,0.0016436,0.0016436,0.0016436
11,528.635,1.69211,1.40927,1.61435,0.67211,0.48317,0.55472,0.22957,2.14642,1.88429,2.06378,0.001604,0.001604,0.001604
12,575.897,1.66759,1.38885,1.60857,0.70602,0.63043,0.69388,0.32748,1.85259,1.60882,1.79266,0.0015644,0.0015644,0.0015644
13,623.249,1.6573,1.33974,1.59132,0.70041,0.5875,0.65993,0.29582,1.97421,1.63284,1.89839,0.0015248,0.0015248,0.0015248
14,670.501,1.64991,1.327,1.58452,0.71296,0.57661,0.66074,0.29822,1.84421,1.64374,1.77848,0.0014852,0.0014852,0.0014852
15,717.452,1.63349,1.31984,1.57371,0.71044,0.5827,0.62584,0.28916,1.9197,1.73232,1.89874,0.0014456,0.0014456,0.0014456
16,764.659,1.62594,1.33113,1.56365,0.72457,0.63887,0.69534,0.31047,1.96153,1.71244,1.86901,0.001406,0.001406,0.001406
17,811.584,1.62552,1.27483,1.56131,0.76096,0.62321,0.72082,0.33129,1.87061,1.51225,1.76476,0.0013664,0.0013664,0.0013664
18,858.47,1.60371,1.2513,1.53708,0.72397,0.65179,0.71588,0.336,1.85474,1.4462,1.78721,0.0013268,0.0013268,0.0013268
19,905.352,1.59356,1.24151,1.5342,0.7445,0.61921,0.71259,0.34778,1.84532,1.49037,1.77002,0.0012872,0.0012872,0.0012872
20,952.156,1.58084,1.21794,1.53185,0.6772,0.63929,0.68544,0.29536,1.92759,1.51647,1.83768,0.0012476,0.0012476,0.0012476
21,1024.28,1.58239,1.2019,1.52594,0.75251,0.62441,0.69714,0.33097,1.9078,1.52537,1.80696,0.001208,0.001208,0.001208
22,1071.83,1.55826,1.18504,1.51979,0.75084,0.63214,0.69985,0.3457,1.9086,1.45735,1.85757,0.0011684,0.0011684,0.0011684
23,1119.04,1.5462,1.17117,1.50954,0.73595,0.67857,0.72475,0.34671,1.92389,1.50776,1.8635,0.0011288,0.0011288,0.0011288
24,1165.93,1.55509,1.14311,1.5056,0.75546,0.63393,0.71735,0.3311,1.8851,1.47152,1.7848,0.0010892,0.0010892,0.0010892
25,1213.15,1.52893,1.13104,1.4908,0.73228,0.6625,0.73867,0.35606,1.81095,1.36324,1.76529,0.0010496,0.0010496,0.0010496
26,1260.22,1.53134,1.12955,1.49705,0.76212,0.63929,0.73412,0.3505,1.86439,1.43932,1.78474,0.00101,0.00101,0.00101
27,1307.98,1.51966,1.12425,1.48902,0.78939,0.67679,0.76131,0.36176,1.83328,1.36003,1.76841,0.0009704,0.0009704,0.0009704
28,1355.79,1.48495,1.07565,1.46842,0.77063,0.67321,0.75296,0.35175,1.85554,1.42453,1.77052,0.0009308,0.0009308,0.0009308
29,1403.39,1.50665,1.08184,1.47296,0.71816,0.67857,0.72108,0.34383,1.86852,1.43075,1.78967,0.0008912,0.0008912,0.0008912
30,1450.68,1.49019,1.06243,1.45172,0.82101,0.62252,0.75234,0.36196,1.86063,1.41274,1.77666,0.0008516,0.0008516,0.0008516
31,1498.34,1.47798,1.04823,1.45093,0.79043,0.68025,0.74347,0.3697,1.8325,1.34418,1.74386,0.000812,0.000812,0.000812
32,1545.95,1.46109,1.03857,1.45042,0.79875,0.67331,0.75209,0.36314,1.85055,1.40363,1.76329,0.0007724,0.0007724,0.0007724
33,1593.55,1.45189,1.0172,1.43946,0.7547,0.67857,0.73863,0.35542,1.89782,1.41628,1.81316,0.0007328,0.0007328,0.0007328
34,1640.63,1.44639,1.01442,1.42539,0.79908,0.6818,0.76399,0.36604,1.86988,1.35011,1.80019,0.0006932,0.0006932,0.0006932
35,1687.68,1.44467,1.00896,1.41928,0.78877,0.66016,0.76269,0.36415,1.88041,1.33745,1.79373,0.0006536,0.0006536,0.0006536
36,1734.52,1.40967,0.9772,1.417,0.7704,0.66071,0.74303,0.35567,1.88996,1.34188,1.80472,0.000614,0.000614,0.000614
37,1781.53,1.42416,0.97412,1.42041,0.79831,0.66786,0.76437,0.37253,1.85489,1.39955,1.79763,0.0005744,0.0005744,0.0005744
38,1828.46,1.41961,0.97026,1.41077,0.76484,0.67321,0.73509,0.34869,1.88757,1.39067,1.82725,0.0005348,0.0005348,0.0005348
39,1875.37,1.38999,0.95116,1.40042,0.77088,0.68929,0.74787,0.35799,1.8764,1.38927,1.79907,0.0004952,0.0004952,0.0004952
